epoch,accuracy,learning_rate,loss,top_k_accuracy,val_accuracy,val_loss,val_top_k_accuracy
0,0.43027639389038086,0.0005000000237487257,1.8083523511886597,0.5745916962623596,0.5958806872367859,1.526488184928894,0.7713068127632141
1,0.8033919334411621,0.0005000000237487257,1.2822157144546509,0.9134736061096191,0.8146306872367859,1.115578532218933,0.9247159361839294
2,0.9125314354896545,0.0005000000237487257,0.9329133033752441,0.9718906879425049,0.8359375,0.8597478270530701,0.9375
3,0.9235238432884216,0.0005000000237487257,0.7062570452690125,0.9770728349685669,0.84375,0.7040029168128967,0.9460227489471436
4,0.9283134341239929,0.0005000000237487257,0.5607708692550659,0.9816268682479858,0.8480113744735718,0.6092633605003357,0.9481534361839294
5,0.927057147026062,0.0005000000237487257,0.46526461839675903,0.9818624258041382,0.8473011255264282,0.5511564612388611,0.9502840638160706
6,0.929726779460907,0.0005000000237487257,0.39898189902305603,0.9807631969451904,0.8465909361839294,0.5151774287223816,0.9517045617103577
7,0.9292556643486023,0.0005000000237487257,0.354856014251709,0.9827261567115784,0.8473011255264282,0.49251851439476013,0.9517045617103577
8,0.9343593120574951,0.0005000000237487257,0.3139116168022156,0.9828831553459167,0.8473011255264282,0.47891637682914734,0.9509943127632141
9,0.9313756227493286,0.0005000000237487257,0.29232361912727356,0.981783926486969,0.8494318127632141,0.47066906094551086,0.9502840638160706
0,0.9324748516082764,0.0005000000237487257,0.2689095437526703,0.9839038848876953,0.8494318127632141,0.46627557277679443,0.9495738744735718
1,0.9305904507637024,0.0005000000237487257,0.25894275307655334,0.982490599155426,0.8480113744735718,0.46452829241752625,0.9502840638160706
2,0.9315326809883118,0.0005000000237487257,0.24949918687343597,0.9825690984725952,0.8487215638160706,0.46451902389526367,0.9481534361839294
3,0.9339666962623596,0.0005000000237487257,0.23615357279777527,0.9839823842048645,0.8487215638160706,0.4657652676105499,0.9467329382896423
4,0.9328674674034119,0.0005000000237487257,0.22886966168880463,0.984375,0.8501420617103577,0.46755120158195496,0.9460227489471436
0,0.9335741400718689,4.999999873689376e-05,0.2405989021062851,0.9826475977897644,0.8494318127632141,0.4645140469074249,0.9481534361839294
1,0.9319252371788025,4.999999873689376e-05,0.2445763796567917,0.9842179417610168,0.8494318127632141,0.46448424458503723,0.9481534361839294
2,0.9319252371788025,4.999999873689376e-05,0.2447924166917801,0.9834327697753906,0.8494318127632141,0.46449506282806396,0.9481534361839294
3,0.9315326809883118,4.999999873689376e-05,0.23910114169120789,0.9842179417610168,0.8494318127632141,0.46453505754470825,0.9474431872367859
4,0.9320822954177856,2.9999999242136255e-05,0.24142782390117645,0.9815483689308167,0.8501420617103577,0.46459293365478516,0.9474431872367859
